path,Genre
out/MI4/mi4-Scene-005-01.png,Action
out/MI4/mi4-Scene-005-01.png,Comedy
out/MI4/mi4-Scene-014-01.png,Action
out/MI4/mi4-Scene-014-01.png,Comedy
out/MI4/mi4-Scene-019-01.png,Action
out/MI4/mi4-Scene-019-01.png,Crime
out/MI4/mi4-Scene-022-01.png,Action
out/MI4/mi4-Scene-022-01.png,Crime
out/MI4/mi4-Scene-025-01.png,Comedy
out/MI4/mi4-Scene-025-01.png,Action
out/MI4/mi4-Scene-027-01.png,Action
out/MI4/mi4-Scene-027-01.png,Crime
out/MI4/mi4-Scene-030-01.png,Action
out/MI4/mi4-Scene-030-01.png,Crime
out/MI4/mi4-Scene-032-01.png,Action
out/MI4/mi4-Scene-032-01.png,Crime
out/MI4/mi4-Scene-038-01.png,Action
out/MI4/mi4-Scene-038-01.png,Comedy
out/MI4/mi4-Scene-040-01.png,Action
out/MI4/mi4-Scene-040-01.png,Crime
out/MI4/mi4-Scene-041-01.png,Action
out/MI4/mi4-Scene-041-01.png,Crime
out/MI4/mi4-Scene-044-01.png,Action
out/MI4/mi4-Scene-044-01.png,Crime
out/MI4/mi4-Scene-047-01.png,Action
out/MI4/mi4-Scene-047-01.png,Comedy
out/MI4/mi4-Scene-052-01.png,Action
out/MI4/mi4-Scene-052-01.png,Comedy
out/MI4/mi4-Scene-054-01.png,Action
out/MI4/mi4-Scene-054-01.png,Comedy
out/MI4/mi4-Scene-055-01.png,Action
out/MI4/mi4-Scene-055-01.png,Crime
out/MI4/mi4-Scene-056-01.png,Action
out/MI4/mi4-Scene-056-01.png,Crime
out/MI4/mi4-Scene-058-01.png,Comedy
out/MI4/mi4-Scene-058-01.png,Action
out/MI4/mi4-Scene-060-01.png,Action
out/MI4/mi4-Scene-060-01.png,Crime
