path,Genre
out/MI5/mi5-Scene-003-01.png,Action
out/MI5/mi5-Scene-003-01.png,Comedy
out/MI5/mi5-Scene-004-01.png,Action
out/MI5/mi5-Scene-004-01.png,Comedy
out/MI5/mi5-Scene-006-01.png,Comedy
out/MI5/mi5-Scene-006-01.png,Action
out/MI5/mi5-Scene-007-01.png,Comedy
out/MI5/mi5-Scene-007-01.png,Action
out/MI5/mi5-Scene-008-01.png,Action
out/MI5/mi5-Scene-008-01.png,Crime
out/MI5/mi5-Scene-009-01.png,Action
out/MI5/mi5-Scene-009-01.png,Crime
out/MI5/mi5-Scene-010-01.png,Action
out/MI5/mi5-Scene-010-01.png,Crime
out/MI5/mi5-Scene-011-01.png,Action
out/MI5/mi5-Scene-011-01.png,Comedy
out/MI5/mi5-Scene-012-01.png,Action
out/MI5/mi5-Scene-012-01.png,Comedy
out/MI5/mi5-Scene-014-01.png,Action
out/MI5/mi5-Scene-014-01.png,Comedy
out/MI5/mi5-Scene-026-01.png,Action
out/MI5/mi5-Scene-026-01.png,Comedy
out/MI5/mi5-Scene-029-01.png,Action
out/MI5/mi5-Scene-029-01.png,Comedy
out/MI5/mi5-Scene-031-01.png,Action
out/MI5/mi5-Scene-031-01.png,Comedy
out/MI5/mi5-Scene-038-01.png,Action
out/MI5/mi5-Scene-038-01.png,Comedy
out/MI5/mi5-Scene-043-01.png,Comedy
out/MI5/mi5-Scene-043-01.png,Action

